"selroutes","pa_corA","pa_corB","pa_corC","pa_corD","route.x","abu_corA","abu_corB","abu_corC","abu_corD","route.y"
"Route_0000030401",0.829485194515363,0.878423114835343,-0.0564610679737802,0.21547906536245,1720,0.891434831102271,0.88217861256879,0.107299454489873,0.100920214389871,1720
"Route_0000030501",0.881130403602055,0.902999545742662,0.141957477794867,0.105034332611791,1721,0.808943102353325,0.861836713425438,-0.0238653806348045,-0.0138259360419445,1721
"Route_0000030601",0.792504607637745,0.814522627394055,0.207722074904356,0.0199955281363588,1722,0.749380930099729,0.796376500829105,-0.358277493616902,-0.127416981120855,1722
"Route_0000030701",0.878927195482924,0.916494419772172,0.247616553141358,0.425760248408404,1723,0.723071470070984,0.752195848531327,0.241727205796175,-0.126862792296231,1723
"Route_0000030801",0.811365980758885,0.860336531021279,0.0759803623296327,0.311070927167411,1724,0.686253271579891,0.744125324661725,0.0196848435064861,0.275192147026097,1724
"Route_0000030901",0.780569952000688,0.792278735549723,-0.102210008385765,-0.35246642321896,1725,0.689731234545159,0.673546202576767,0.20187093788991,0.0646879093894067,1725
"Route_0000031001",0.83833132030872,0.863655737409467,0.0564927347478012,0.0564183939007613,1726,0.603782110094238,0.692906624521112,-0.278323725717032,-0.236710788481838,1726
"Route_0000040101",0.79593405448423,0.843418452366947,0.316883190132866,0.220762933980838,1727,0.782638101425651,0.766052419909077,0.519679372761594,0.361852943165994,1727
"Route_0000040201",0.798630789109753,0.797504674134522,0.243659165806538,-0.0425789622276279,1728,0.864406187250688,0.788293433184912,0.306107140199894,0.277007254136091,1728
"Route_0000040301",0.769927931289256,0.830563755184223,0.22300852627424,0.185966466505843,1729,0.668340956610253,0.65830230300899,0.348797270060194,0.304899367270144,1729
"Route_0000040401",0.841424110334762,0.849606613011083,0.321058225140633,0.132601900691501,1730,0.78822081035338,0.721858519139386,0.205064568701888,0.140637223957366,1730
"Route_0000040501",0.765833781704089,0.801054292113896,0.365934909152847,0.272052802348727,1731,0.772207255350583,0.747622856330562,0.154688314695345,0.336543863127395,1731
"Route_0000040601",0.797308710581219,0.811301148807422,0.423697187053878,0.181745720740232,1732,0.804199431737591,0.762893337587221,0.359960012694708,0.0855378698737936,1732
"Route_0000040701",0.811306800815553,0.778836773980306,0.382623165202507,0.16468276170282,1733,0.756974533902523,0.741816339742427,0.542680711073779,0.153025828578092,1733
"Route_0000040801",0.735564769867821,0.784012595500111,0.308765629947284,0.247299674188302,1734,0.741522363222282,0.692748376543543,0.412519110300069,0.250382818058438,1734
"Route_0000040901",0.784553364268971,0.834230845313164,0.134842282065345,0.224005758273175,1735,0.825797457645597,0.803937284427862,0.345224972803365,0.377656857305938,1735
"Route_0000041001",0.75323054194719,0.796940094860607,0.177193895488455,0.185685445770051,1736,0.838896240195506,0.834909130597709,0.31370192471222,-0.104532954913999,1736
"Route_0000050101",0.79163365304163,0.798575405820344,0.122072044413051,0.11049729478664,1737,0.843826538556782,0.818546297484917,0.424567414550118,0.151785322130069,1737
"Route_0000050201",0.801089715560385,0.669005144640168,0.147290808538201,0.138763995415662,1738,0.496309707161384,0.3419276135922,0.225449318413677,0.168176884997471,1738
"Route_0000050301",0.870684500831947,0.844934504710043,0.4594494492261,0.319876767227064,1739,0.826039926985091,0.819711594708757,0.454831981859935,0.322094305199028,1739
"Route_0000050401",0.85173679903099,0.832095747088372,-0.0147584187505173,0.0929416526037836,1740,0.679902150031579,0.663164143436477,0.510101961901118,0.331734385592884,1740
"Route_0000050501",0.831063045085776,0.828353114696011,0.293430432275928,0.195193868833391,1741,0.851891490743685,0.838256572130859,0.115689610297449,0.213364365313227,1741
"Route_0000050601",0.833512356992291,0.805325934671024,0.225818527418627,0.116295751854755,1742,0.70599324904325,0.708303675388162,0.0574939515450356,0.00173528768411891,1742
"Route_0000050701",0.766001159183773,0.74323388066075,0.377430332891474,0.321334780360548,1743,0.695274484676907,0.656578004420049,0.143205685463101,-0.169351690221833,1743
"Route_0000050801",0.803048165942157,0.7471959253269,0.122642672454075,0.0375711638662994,1744,0.76036217851579,0.72190680378724,0.0891093351304846,-0.0541880150945933,1744
