"Route","Year"
"Route_0000000125","Year_2009"
"Route_0000000125","Year_2012"
"Route_0000000125","Year_2014"
"Route_0000000127","Year_2009"
"Route_0000000127","Year_2013"
"Route_0000000128","Year_2009"
"Route_0000000129","Year_2007"
"Route_0000000130","Year_2008"
"Route_0000000130","Year_2011"
"Route_0000000130","Year_2012"
"Route_0000000130","Year_2013"
"Route_0000000131","Year_2009"
"Route_0000000131","Year_2012"
"Route_0000000131","Year_2014"
"Route_0000000132","Year_2009"
"Route_0000000132","Year_2012"
"Route_0000000132","Year_2014"
"Route_0000000133","Year_2010"
"Route_0000000133","Year_2013"
"Route_0000000133","Year_2014"
"Route_0000000134","Year_2010"
"Route_0000000134","Year_2011"
"Route_0000000134","Year_2012"
"Route_0000000134","Year_2013"
"Route_0000000135","Year_2007"
"Route_0000000135","Year_2011"
"Route_0000000135","Year_2013"
"Route_0000000136","Year_2009"
"Route_0000000136","Year_2012"
"Route_0000000137","Year_2009"
"Route_0000000137","Year_2010"
"Route_0000000138","Year_2009"
"Route_0000000138","Year_2013"
"Route_0000000139","Year_2009"
"Route_0000000139","Year_2014"
"Route_0000000140","Year_2009"
"Route_0000000140","Year_2014"
"Route_0000000141","Year_2009"
"Route_0000000141","Year_2011"
"Route_0000000142","Year_2009"
"Route_0000000142","Year_2014"
"Route_0000000143","Year_2008"
"Route_0000000143","Year_2012"
"Route_0000000144","Year_2006"
"Route_0000000144","Year_2012"
"Route_0000000145","Year_2009"
"Route_0000000145","Year_2013"
"Route_0000000146","Year_2009"
"Route_0000000146","Year_2012"
"Route_0000000147","Year_2009"
"Route_0000000147","Year_2012"
"Route_0000000148","Year_2008"
"Route_0000000148","Year_2009"
"Route_0000000148","Year_2014"
"Route_0000000149","Year_2008"
"Route_0000000149","Year_2009"
"Route_0000000149","Year_2013"
"Route_0000000149","Year_2014"
"Route_0000000150","Year_2009"
"Route_0000000150","Year_2010"
"Route_0000000150","Year_2012"
"Route_0000000150","Year_2014"
"Route_0000000151","Year_2008"
"Route_0000000151","Year_2010"
"Route_0000000151","Year_2014"
"Route_0000000152","Year_2008"
"Route_0000000152","Year_2010"
"Route_0000000153","Year_2009"
"Route_0000000153","Year_2012"
"Route_0000000153","Year_2013"
"Route_0000000154","Year_2008"
"Route_0000000154","Year_2009"
"Route_0000000154","Year_2010"
"Route_0000000154","Year_2012"
"Route_0000000155","Year_2008"
"Route_0000000155","Year_2011"
"Route_0000000156","Year_2006"
"Route_0000000156","Year_2009"
"Route_0000000156","Year_2013"
"Route_0000000157","Year_2006"
"Route_0000000157","Year_2009"
"Route_0000000157","Year_2014"
"Route_0000000158","Year_2009"
"Route_0000000159","Year_2009"
"Route_0000000159","Year_2011"
"Route_0000000160","Year_2009"
"Route_0000000160","Year_2013"
"Route_0000000161","Year_2009"
"Route_0000000161","Year_2013"
"Route_0000000162","Year_2010"
"Route_0000000162","Year_2012"
"Route_0000000163","Year_2009"
"Route_0000000163","Year_2012"
"Route_0000000164","Year_2008"
"Route_0000000165","Year_2008"
"Route_0000000165","Year_2012"
"Route_0000000166","Year_2009"
"Route_0000000166","Year_2012"
"Route_0000000167","Year_2009"
"Route_0000000167","Year_2011"
"Route_0000000167","Year_2013"
"Route_0000000167","Year_2014"
"Route_0000000168","Year_2008"
"Route_0000000168","Year_2011"
"Route_0000000168","Year_2013"
"Route_0000000168","Year_2014"
"Route_0000000169","Year_2007"
"Route_0000000169","Year_2008"
"Route_0000000169","Year_2009"
"Route_0000000169","Year_2010"
"Route_0000000169","Year_2011"
"Route_0000000169","Year_2014"
"Route_0000000170","Year_2006"
"Route_0000000170","Year_2008"
"Route_0000000170","Year_2011"
"Route_0000000170","Year_2013"
"Route_0000000170","Year_2014"
"Route_0000000171","Year_2010"
"Route_0000000171","Year_2014"
"Route_0000000172","Year_2008"
"Route_0000000172","Year_2009"
"Route_0000000172","Year_2013"
"Route_0000000173","Year_2008"
"Route_0000000173","Year_2011"
"Route_0000000174","Year_2009"
"Route_0000000174","Year_2014"
"Route_0000000175","Year_2009"
"Route_0000000175","Year_2014"
"Route_0000000176","Year_2009"
"Route_0000000176","Year_2014"
"Route_0000000177","Year_2009"
"Route_0000000177","Year_2011"
"Route_0000000178","Year_2009"
"Route_0000000178","Year_2013"
"Route_0000000179","Year_2009"
"Route_0000000179","Year_2013"
"Route_0000000180","Year_2006"
"Route_0000000180","Year_2014"
"Route_0000000181","Year_2006"
"Route_0000000181","Year_2012"
"Route_0000000182","Year_2006"
"Route_0000000182","Year_2011"
"Route_0000000182","Year_2014"
"Route_0000000183","Year_2008"
"Route_0000000184","Year_2008"
"Route_0000000184","Year_2011"
"Route_0000000185","Year_2007"
"Route_0000000185","Year_2011"
"Route_0000000186","Year_2009"
"Route_0000000186","Year_2010"
"Route_0000000186","Year_2011"
"Route_0000000186","Year_2012"
"Route_0000000186","Year_2013"
"Route_0000000186","Year_2014"
"Route_0000000187","Year_2009"
"Route_0000000187","Year_2014"
"Route_0000000188","Year_2010"
"Route_0000000189","Year_2006"
"Route_0000000189","Year_2007"
"Route_0000000189","Year_2008"
"Route_0000000189","Year_2009"
"Route_0000000189","Year_2010"
