route;x;y
1023;4691174;4599433
1024;4717337;4577591
1025;4741372;4579517
1026;4715217;4601375
1027;4739257;4603301
1028;4765405;4581428
1029;4793439;4583639
1030;4763294;4605212
1031;4791334;4607423
1032;4817465;4585518
1033;4841487;4587382
1034;4815365;4609302
1035;4839392;4611165
1036;4512676;4608509
1037;4536726;4610562
1038;4510146;4636227
1039;4534201;4638282
1040;4560776;4612599
1041;4588836;4614957
1042;4558258;4640322
1043;4586324;4642683
1044;4612887;4616961
1045;4636938;4618951
1046;4610381;4644690
1047;4634438;4646681
1048;4660989;4620926
1049;4689046;4623211
1050;4658494;4648658
1051;4686558;4650944
1052;4713093;4625152
1053;4737138;4627079
1054;4710611;4652887
1055;4734662;4654814
1056;4761181;4628991
1057;4789226;4631202
1058;4758710;4656726
1059;4786763;4658937
1060;4813262;4633080
1061;4837294;4634943
1062;4810805;4660815
1063;4834843;4662678
1064;4861321;4636791
1065;4858876;4664524
1066;4532033;4662037
1067;4529861;4685786
1068;4556094;4664079
1069;4584167;4666442
1070;4553927;4687831
1071;4582005;4690196
1072;4608229;4668451
1073;4632290;4670444
1074;4606072;4692207
1075;4630139;4694202
1076;4656352;4672422
1077;4684421;4674709
1078;4654206;4696181
1079;4682282;4698470
1080;4708480;4676653
1081;4732536;4678581
1082;4706345;4700414
1083;4730406;4702343
1084;4756589;4680493
1085;4784648;4682704
1086;4754465;4704255
1087;4782530;4706466
1088;4808695;4684582
1089;4832738;4686444
1090;4806583;4708344
1091;4830631;4710205
1092;4854675;4712051
1093;4551756;4711576
1094;4579840;4713945
1095;4549218;4739273
1096;4577309;4741644
1097;4603912;4715957
1098;4627985;4717954
1099;4601388;4743659
1100;4625466;4745657
1101;4652056;4719934
1102;4680138;4722224
1103;4649544;4747639
1104;4677633;4749931
1105;4704207;4724169
1106;4728274;4726099
1107;4701708;4751877
1108;4725781;4753807
1109;4752338;4728011
1110;4780409;4730222
1111;4749852;4755720
1112;4777931;4757931
1113;4804467;4732100
1114;4828521;4733961
1115;4801995;4759808
1116;4826055;4761669
1117;4852570;4735805
1118;4850111;4763512
1119;4878171;4765642
1120;4902216;4767450
1121;4547038;4763006
1122;4575135;4765380
1123;4544854;4786734
1124;4572958;4789110
1125;4599219;4767397
1126;4623303;4769397
1127;4597047;4791129
1128;4621137;4793131
1129;4647386;4771380
1130;4675482;4773673
1131;4645226;4795115
1132;4673328;4797409
1133;4699563;4775620
1134;4723641;4777550
1135;4697414;4799357
1136;4721498;4801288
1137;4747717;4779464
1138;4775803;4781675
1139;4745580;4803202
1140;4773672;4805413
1141;4799872;4783552
1142;4823938;4785412
1143;4797747;4807290
1144;4821818;4809150
1145;4848000;4787255
1146;4876066;4789384
1147;4845886;4810992
1148;4873959;4813119
1149;4924163;4792979
1150;4898016;4814924
1151;4922067;4816712
1152;4948203;4794751
1153;4946113;4818482
1154;4570777;4812835
1155;4594872;4814855
1156;4618967;4816858
1157;4592329;4842528
1158;4616430;4844533
1159;4643061;4818845
1160;4671170;4821140
1161;4640531;4846521
1162;4668648;4848818
1163;4695262;4823089
1164;4692746;4850768
1165;4716843;4852700
1166;4743439;4826934
1167;4771537;4829146
1168;4740937;4854615
1169;4769044;4856826
1170;4795618;4831022
1171;4819696;4832881
1172;4793131;4858702
1173;4817216;4860561
1174;4843769;4834723
1175;4871849;4836849
1176;4841296;4862402
1177;4869384;4864527
1178;4895912;4838653
1179;4919969;4840439
1180;4893453;4866329
1181;4917518;4868113
1182;4944020;4842208
1183;4590145;4866241
1184;4614252;4868248
1185;4612070;4891957
1186;4638359;4870237
1187;4666482;4872536
1188;4636183;4893947
1189;4664313;4896247
1190;4690587;4874486
1191;4714689;4876419
1192;4688424;4898199
1193;4712532;4900132
1194;4738789;4878334
1195;4766903;4880546
1196;4736638;4902047
1197;4764759;4904259
1198;4790996;4882422
1199;4815087;4884280
1200;4788858;4906135
1201;4812955;4907992
1202;4839173;4886120
1203;4867268;4888244
1204;4837047;4909832
1205;4865149;4911955
1206;4891343;4890045
1207;4915414;4891828
1208;4889231;4913754
1209;4913307;4915536
1210;4609885;4915659
1211;4607331;4943303
1212;4634004;4917651
1213;4631456;4945297
1214;4659602;4947600
1215;4686257;4921904
1216;4710372;4923839
1217;4683725;4949553
1218;4707847;4951488
1219;4734484;4925754
1220;4762611;4927966
1221;4731967;4953405
1222;4760103;4955616
1223;4786717;4929842
1224;4810820;4931699
1225;4784216;4957492
1226;4808325;4959349
1227;4834918;4933538
1228;4863027;4935659
1229;4832431;4961187
1230;4860549;4963307
1231;4887116;4937458
1232;4911198;4939238
1233;4884644;4965104
1234;4908735;4966882
1235;4605137;4966992
1236;4629269;4968987
1237;4627078;4992671
1238;4655239;4994976
1239;4705680;4975181
1240;4703509;4998868
1241;4729805;4977098
1242;4757949;4979310
1243;4727641;5000784
1244;4755792;5002997
1245;4782068;4981185
1246;4806184;4983042
1247;4779918;5004872
1248;4804040;5006728
1249;4830296;4984879
1250;4858421;4986998
1251;4828159;5008564
1252;4856291;5010683
1253;4882523;4988794
1254;4880400;5012477
1255;4677194;5020610
1256;4701335;5022547
1257;4674646;5048228
1258;4698794;5050165
1259;4725473;5024465
1260;4753632;5026677
1261;4722941;5052083
1262;4751108;5054296
1263;4777764;5028552
1264;4801893;5030408
1265;4775248;5056171
1266;4799385;5058026
1267;4826018;5032244
1268;4854159;5034361
1269;4823518;5059861
1270;4851667;5061977
1271;4878274;5036154
1272;4748941;5077962
1273;4746772;5101621
1274;4773088;5079836
1275;4797231;5081691
1276;4770925;5103495
1277;4821371;5083526
1278;4744599;5125273
1279;4413700;3979500
1280;4376700;4012700
1281;4394700;4014100
1282;4411300;4033300
1283;4410000;4051200
1284;4388900;4066200
1285;4426600;4070400
1286;4408600;4069100
1287;4389300;4085800
1288;4368600;4120200
1289;4385200;4139400
1290;4383800;4157300
1291;4371300;4084400
1292;4441900;4107600
1293;4422600;4124200
1294;4403200;4140700
1295;4457200;4144700
1296;4401800;4158600
1297;4437800;4161300
1298;4418500;4177900
1299;4363100;4191700
1300;4381200;4193100
1301;4399100;4194400
1302;4435100;4197100
1303;4361700;4209500
1304;4397700;4212300
1305;4415800;4213600
1306;4433800;4215000
1307;4396400;4230200
1308;4414400;4231500
1309;4432400;4232900
1310;4450400;4234200
1311;4468400;4235500
1312;4377000;4246700
1313;4431000;4250800
1314;4375600;4264600
1315;4393600;4266000
1316;4411600;4267300
1317;4429700;4268600
1318;4374200;4282500
1319;4410300;4285200
